acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
ACAv6a,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACA,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAd,0.99999990078179,0.99999990078179,0.99999990078179,0.0,0.99999990078179,0.99999990078179,True,583747816
MOs2/3,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
CH,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAv,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
MO,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
MOs1,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
grey,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
Isocortex,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
root,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAv5,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAd2/3,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAd5,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
MOs,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
CTX,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
CTXpl,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAv2/3,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAd1,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAd6a,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAv6b,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
fiber tracts,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
cing,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
mfbs,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAv1,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
mfbc,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
MOs6a,0.999997405854235,0.999997405854235,0.999997405854235,0.0,0.999997405854235,0.999997405854235,True,583747816
MOs5,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ACAd6b,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
HIP,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
HPF,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
IG,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
PL6a,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
PL,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
PL2/3,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
PL5,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
cc,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
ccg,1.0,1.0,1.0,0.0,1.0,1.0,True,583747816
