acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
CLI,0.999977052211761,0.999977052211761,0.999977052211761,0.0,0.999977052211761,0.999977052211761,True,480074702
scp,0.569197714328766,0.569197714328766,0.569197714328766,0.0,0.569197714328766,0.569197714328766,True,480074702
P,0.783173978328705,0.783173978328705,0.783173978328705,0.0,0.783173978328705,0.783173978328705,True,480074702
MB,0.993116021156311,0.993116021156311,0.993116021156311,0.0,0.993116021156311,0.993116021156311,True,480074702
MBsta,0.997847914984359,0.997847914984359,0.997847914984359,0.0,0.997847914984359,0.997847914984359,True,480074702
HB,0.783173947765764,0.783173947765764,0.783173947765764,0.0,0.783173947765764,0.783173947765764,True,480074702
PAG,0.983786344528198,0.983786344528198,0.983786344528198,0.0,0.983786344528198,0.983786344528198,True,480074702
BS,0.993115991759418,0.993115991759418,0.993115991759418,0.0,0.993115991759418,0.993115991759418,True,480074702
grey,0.993115991759418,0.993115991759418,0.993115991759418,0.0,0.993115991759418,0.993115991759418,True,480074702
fiber tracts,0.912031412124634,0.912031412124634,0.912031412124634,0.0,0.912031412124634,0.912031412124634,True,480074702
PCG,0.554713791671846,0.554713791671846,0.554713791671846,0.0,0.554713791671846,0.554713791671846,True,480074702
IV,0.999942243099213,0.999942243099213,0.999942243099213,0.0,0.999942243099213,0.999942243099213,True,480074702
mlf,0.928152501583099,0.928152501583099,0.928152501583099,0.0,0.928152501583099,0.928152501583099,True,480074702
root,0.992819845676422,0.992819845676422,0.992819845676422,0.0,0.992819845676422,0.992819845676422,True,480074702
P-mot,0.661664211103644,0.661664211103644,0.661664211103644,0.0,0.661664211103644,0.661664211103644,True,480074702
cbf,0.569197665032906,0.569197665032906,0.569197665032906,0.0,0.569197665032906,0.569197665032906,True,480074702
dscp,0.569338202476501,0.569338202476501,0.569338202476501,0.0,0.569338202476501,0.569338202476501,True,480074702
DR,0.997818350791931,0.997818350791931,0.997818350791931,0.0,0.997818350791931,0.997818350791931,True,480074702
MRN,0.96060957311609,0.96060957311609,0.96060957311609,0.0,0.96060957311609,0.96060957311609,True,480074702
IIIn,0.928152501583099,0.928152501583099,0.928152501583099,0.0,0.928152501583099,0.928152501583099,True,480074702
RAmb,0.997847914984359,0.997847914984359,0.997847914984359,0.0,0.997847914984359,0.997847914984359,True,480074702
Pa4,0.877476751804352,0.877476751804352,0.877476751804352,0.0,0.877476751804352,0.877476751804352,True,480074702
DTN,0.998429536819458,0.998429536819458,0.998429536819458,0.0,0.998429536819458,0.998429536819458,True,480074702
cbp,0.569197665032906,0.569197665032906,0.569197665032906,0.0,0.569197665032906,0.569197665032906,True,480074702
cm,0.928152512234452,0.928152512234452,0.928152512234452,0.0,0.928152512234452,0.928152512234452,True,480074702
MBmot,0.97829247075905,0.97829247075905,0.97829247075905,0.0,0.97829247075905,0.97829247075905,True,480074702
LDT,0.714337944984436,0.714337944984436,0.714337944984436,0.0,0.714337944984436,0.714337944984436,True,480074702
P-sat,0.71433792084255,0.71433792084255,0.71433792084255,0.0,0.71433792084255,0.71433792084255,True,480074702
Su3,1.0,1.0,1.0,0.0,1.0,1.0,True,480074702
